song,atrist
CARNIVAL,KANYE WEST/TY DOLLA SIGN
LOVIN ON ME,JACK HARLOW
NewSATURN,SZA
NewI WILL,CENTRAL CEE
WATER,TYLA
REDRUM,21 SAVAGE
NEVER LOSE ME,FLO MILLI
RICH BABY DADDY,DRAKE FT SEXYY RED & SZA
NewKITCHEN STOVE,POZER
SPRINTER,DAVE & CENTRAL CEE
WHATEVER SHE WANTS,BRYSON TILLER
GREY,YUNG FILLY
BURN,KANYE WEST/TY DOLLA SIGN
PAINT THE TOWN RED,DOJA CAT
MADE FOR ME,MUNI LONG
TOXIC,SONGER
ANGEL NUMBERS/TEN TOES,CHRIS BROWN
SNOOZE,SZA
CALM DOWN,REMA
ONE DANCE,DRAKE FT WIZKID & KYLA
SAVE YOUR TEARS,WEEKND
RUNAWAY,KANYE WEST FT PUSHA T
BLINDING LIGHTS,WEEKND
PINK + WHITE,FRANK OCEAN
FATHER STRETCH MY HANDS PT 1,KANYE WEST
YEAH,USHER FT LIL' JON & LUDACRIS
DIE FOR YOU,WEEKND
HEAVEN OR HELL,K-TRAP
RETHINKIN BOUT YOU,FRANK OCEAN
FEIN,TRAVIS SCOTT FT PLAYBOI CARTI
ONE CALL,RICH AMIRI
BACK TO ME,KANYE WEST/TY DOLLA SIGN
OVERSEAS,D-BLOCK EUROPE FT CENTRAL CEE
NO ROLE MODELZ,J COLE
WITHOUT ME,EMINEM
SUNFLOWER,POST MALONE FT SWAE LEE
ALL THE STARS,KENDRICK LAMAR & SZA
EAGLE,D-BLOCK EUROPE & NOIZY
KILL BILL,SZA
LOSE YOURSELF,EMINEM
